id,image_id,api_link,title,artist_title,date_start,date_end,date_display,place_of_origin,medium_display,artwork_type_title,category_titles
58052,44fce132-4eb4-7541-06c5-1b6f61c32912,https://api.artic.edu/api/v1/artworks/58052,Christ Washing the Feet of His Disciples,Nicolas Bertin,1720.0,1730.0,1720/30,France,Oil on panel,Painting,['Painting and Sculpture of Europe']
191556,3cc73910-3b2a-5e23-b458-679d84188f06,https://api.artic.edu/api/v1/artworks/191556,The Room No. VI,Eldzier Cortor,1948.0,1948.0,1948,United States,Oil and gesso on Masonite,Painting,"['African American artists', 'Chicago Artists', 'African Diaspora', 'Arts of the Americas']"
265480,2eb0a961-ba5e-8f91-a151-0ce920a0caa9,https://api.artic.edu/api/v1/artworks/265480,It's Only Vanishing Cream,Ed Ruscha,1973.0,1973.0,1973,United States,Shellac on satin,Painting,['Contemporary Art']
11434,1f5b595f-dbbd-3c9d-ca49-9263c3d93841,https://api.artic.edu/api/v1/artworks/11434,Salome with the Head of Saint John the Baptist,Guido Reni,1635.0,1645.0,c. 1639–42,Italy,Oil on canvas,Painting,"['Painting and Sculpture of Europe', 'Essentials']"
8360,604fe021-6008-f666-bce8-456b2fdc9bd4,https://api.artic.edu/api/v1/artworks/8360,Te burao (The Hibiscus Tree),Paul Gauguin,1892.0,1892.0,1892,France,Oil on cotton canvas,Painting,['Painting and Sculpture of Europe']
11723,78c80988-6524-cec7-c661-a4c0a706d06f,https://api.artic.edu/api/v1/artworks/11723,Woman at Her Toilette,Berthe Morisot,1870.0,1880.0,1875/80,France,Oil on canvas,Painting,"['Painting and Sculpture of Europe', 'Essentials', 'Women artists']"
14572,6f513908-03cc-b974-633b-adfce56b7936,https://api.artic.edu/api/v1/artworks/14572,The Millinery Shop,Hilaire Germain Edgar Degas,1874.0,1886.0,c. 1879-86,France,Oil on canvas,Painting,"['Painting and Sculpture of Europe', 'Essentials']"
16554,7d533ed4-ff54-fa2c-64f4-2b16bfbb5880,https://api.artic.edu/api/v1/artworks/16554,The Artist's House at Argenteuil,Claude Monet,1873.0,1873.0,1873,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
21934,68452725-eba5-06e3-46d2-50c678a5d672,https://api.artic.edu/api/v1/artworks/21934,Kitchen Scene,Diego Velázquez,1618.0,1622.0,1618/20,Spain,Oil on canvas,Painting,['Painting and Sculpture of Europe']
26650,f0150d21-33ab-f6ea-0d4d-32d459f091fe,https://api.artic.edu/api/v1/artworks/26650,On a Balcony,Mary Cassatt,1878.0,1879.0,1878–79,France,Oil on canvas,Painting,"['Women artists', 'Arts of the Americas']"
27943,a4bef587-48a4-d186-813d-f297441b1ab3,https://api.artic.edu/api/v1/artworks/27943,Mahana no atua (Day of the God),Paul Gauguin,1894.0,1894.0,1894,France,Oil on linen canvas,Painting,['Painting and Sculpture of Europe']
66159,e0bf3630-f854-e621-cdd5-5ca13fd13d33,https://api.artic.edu/api/v1/artworks/66159,The Glass,Pablo Picasso,1911.0,1912.0,1911/12,Spain,Oil on canvas,Painting,['Modern Art']
66139,b9db31ec-fbcf-2155-5de1-b1992cc3f2f8,https://api.artic.edu/api/v1/artworks/66139,Head of a Young Woman,Marie Laurencin,1926.0,1926.0,1926,France,Oil on canvas,Painting,"['Modern Art', 'Women artists']"
70036,5f158c2a-16e1-63ed-f4bb-f922f0b279a6,https://api.artic.edu/api/v1/artworks/70036,It Was Yellow and Pink III,Georgia O'Keeffe,1960.0,1960.0,1960,United States,Oil on canvas,Painting,"['Women artists', 'Chicago Artists', 'SAIC Alumni and Faculty', 'Arts of the Americas']"
79586,8bcc9188-1d3d-14be-6ae7-ed211e089c0f,https://api.artic.edu/api/v1/artworks/79586,Portrait of Mme Lisle and Mme Loubens,Hilaire Germain Edgar Degas,1862.0,1872.0,c. 1867,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
