id,image_id,title,artist_title,date_start,date_end,date_display,place_of_origin,medium_display,artwork_type_title,category_titles
264952,868d8085-a037-a390-e477-bb2feacd199f,Watching Men #5,Kurt Kauper,2022,2022,2022,United States,Oil on dibond,Painting,['Contemporary Art']
265945,264e3401-bf5c-7a1f-544b-862ac817aa18,Medusa with Red and Blue,Sarah Crowner,2022,2022,2022,United States,"Acrylic on canvas, sewn",Painting,['Contemporary Art']
262711,ec2bfc30-1a8f-52b1-60f0-89d2c04e3c21,Untitled,Kai Althoff,2021,2021,2021,Germany,Oil on linen,Painting,['Contemporary Art']
265253,4c4ed9f6-a86c-a9a7-1418-9cb9a700ff9e,What black is this you say?—”I thought red koolaid was juice til I was 10 years old”—black (06.03.20),Amanda Williams,2021,2021,2021,United States,"Oil, mixed media on canvas",Painting,['Contemporary Art']
260037,52edf63c-0706-cf5d-c7de-b3a458b60ff4,Barack,Jordan Casteel,2020,2020,2020,United States,Oil on canvas,Painting,['Contemporary Art']
265967,795d3735-7e4b-747d-54f1-462bc97250a1,"Score for Threshold, NorthWest - One [ spectrum violet ]",Julia Fish,2020,2022,2020-2022,United States,Oil on canvas,Painting,['Contemporary Art']
262601,6f93e7ab-37da-9002-084b-083faa846475,Deep Structure with Ledger Line,Jennie C. Jones,2020,2020,2020,United States,Acoustic diffuser and acrylic on canvas,Painting,['Contemporary Art']
261409,3afbb845-dbaf-a00a-d651-8cbd2b99df37,dna:study,McArthur Binion,2020,2020,2020,United States,"Ink, oil paint stick and paper on board",Painting,['Contemporary Art']
262498,1d9023fa-7c09-f221-2419-b26d6b707c85,Playing Dub Records in Berlin,Reggie Burrows Hodges,2020,2020,2020,United States,Acrylic and pastel on linen,Painting,[]
250924,5e032f0c-42d3-74e4-1bb6-66250a8ad6c6,We Knew So Little Then/ I Know Even Less Now...,Christina Quarles,2019,2019,2019,Chicago,Acrylic on canvas,Painting,['Contemporary Art']
265988,b9dfa633-1fe0-dcec-6e29-4b87336825c4,Native,Vayeda Brothers,2019,2019,2019,India,Cow dung background and white watercolor on traditionally treated cloth,Painting,['Arts of Asia']
261731,34b66a3a-1659-f508-b3b5-73b8f7893416,Waterfall,Hiroshi Senju,2019,2019,2019,Japan,"Two pairs of six-panel folding screens
Acrylic and fluorescent pigments on Japanese mulberry paper",Painting,['Arts of Asia']
255586,0cc2dd00-6601-9a0e-4a84-7fae1c875702,Untitled 2,Zheng Chongbin,2018,2018,2018,China,"Ink, acrylic, Xuan paper",Painting,['Arts of Asia']
264927,f410d951-28e7-a5a2-3df3-5709e6098f9d,Saltscape Lattice 盐图晶格,Zhang Hong,2018,2018,2018,China,"Photography, salt crystals, and Chinese ink on xuan paper",Painting,['Arts of Asia']
263698,b9c8bf2b-5427-55d2-f10f-91746acf260c,Night Classes at the Department of Painting Drawing and Sculpture,Lisa Yuskavage,2018,2020,2018-2020,United States,Oil on linen,Painting,[]
242595,00eaf6af-8e86-ebf2-c376-3ea2ef390198,Crows Going Back to Their Nest - Satire on the King of Wu,Wang Dongling,2017,2017,2017,China,"Acrylic on plexi glass board, framed",Painting,"['Japanese', 'Arts of Asia']"
242593,d7900989-07fb-1e7f-e0e0-2b4335833bfd,Drinking Wine,Wang Dongling,2017,2017,2017,China,"Acrylic on plexi glass board, framed",Painting,"['Japanese', 'Arts of Asia']"
242592,851d4003-c1e4-a413-aa2d-f46d510d4bfa,Autumn Evening in the Mountains,Wang Dongling,2017,2017,2017,China,"Acrylic on plexi glass board, framed",Painting,"['Japanese', 'Arts of Asia']"
242594,8b5e8795-e85c-4591-d029-69cfdd15e660,Night Moor at Maple Bridge,Wang Dongling,2017,2017,2017,China,"Acrylic on plexi glass board, framed",Painting,"['Japanese', 'Arts of Asia']"
242073,711a2963-6643-ddaf-dc3a-b2379f4bc93c,"Xuanpu, (Hanging Garden)",Xu Longsen,2016,2017,2016–2017,China,Ink on paper,Painting,"['Japanese', 'Arts of Asia']"
243087,aa333c0a-5695-2e28-fff2-a382192895c8,"Shangtian-Mid Series, (Ascending Heaven)",Xu Longsen,2016,2017,2016–2017,China,Ink on felt,Painting,"['Japanese', 'Arts of Asia']"
237874,14c6169b-dac7-210e-7e37-fb3d1ce24bf5,Almost There,B. M. Kamath,2016,2016,2016,India,Gouache on silk,Painting,['Arts of Asia']
265954,8a8394a8-6419-2d96-49d2-d192de96569c,Untitled,Michelle Grabner,2016,2016,2016,United States,Oil and gesso on burlap and panel,Painting,['Contemporary Art']
266166,0728a578-91ca-7f15-eeaf-07530bc5ed61,Black in America,Samuel Levi Jones,2016,2016,2016,United States,"Encyclopedia, law books, and Afro-American reference books on canvas",Painting,['Contemporary Art']
239746,285b692f-ac70-3a33-4080-188ded86338f,Moonstruck Ink 20167,Zhang Long,2015,2015,2015,China,Ink on rice paper,Painting,['Arts of Asia']
239756,ec08c909-e7ef-ae18-9aef-2596cae491ca,Empty Series,Zhang Zhaohui,2015,2015,2015,China,Ink on rice paper,Painting,['Arts of Asia']
229866,8689cd14-1ddb-4d6e-b7fb-f5e0918e9408,Finnish Painting,Pope.L,2015,2015,2015,United States,"Oil, acrylic, flash paint, marker, pen, collage, thumbtacks and tape on torn paper",Painting,"['Contemporary Art', 'Chicago Artists']"
223332,9f80e6de-296b-1d35-3e97-2a01998b9b63,Blue and Gold,Desmond Lazaro,2014,2014,2014,India,Gold leaf over gesso on blue fabric,Painting,['Arts of Asia']
228638,8439d75b-bc3f-fbfc-0f5b-bb4d9d3f0571,Galaxy (Fugetsudoten; 風月同天),Ibe Kyoko,2014,2014,2014,Japan,"Pair of paintings stretched on frames; old documents, mineral pigments, mica, gold and silver on gampi paper",Painting,"['Arts of Asia', 'Women artists']"
225016,5fc89305-7b02-ef42-d93b-5fd55d073ce9,A Siren Beside a Ship,Mark Bradford,2014,2014,2014,United States,Mixed media on canvas,Painting,"['African Diaspora', 'Contemporary Art', 'African American artists']"
251343,a2a2e536-cbfe-b41e-f458-f2fe96a54f60,Warm Offering,Penny Siopis,2012,2018,2012-2018,Cape Town,"Glue, ink and oil on canvas",Painting,"['Contemporary Art', 'Women artists']"
217365,f9d41d25-619e-1ae6-1cbc-ea56c858cc4d,"Passing Through the Opposite of What It Approaches, Chapter 25",R. H.  Quaytman,2012,2012,2012,United States,"Acrylic, silk-screened tempera, gesso on wood",Painting,"['Contemporary Art', 'Women artists']"
223342,eec3082f-c6ad-ff4d-d2de-2e4e28e1b876,Overrun,Dan Walsh,2012,2012,2012,United States,Acrylic on canvas,Painting,['Contemporary Art']
260078,de33e824-be49-0343-800a-3fc43d6cfe3d,Humility (Demut),Rosa Loy,2011,2011,2011,Germany,Casein on canvas,Painting,['Contemporary Art']
209580,19911e07-f330-9337-26c6-982dc74f1422,The Drawing Class,Nicole Eisenman,2011,2011,2011,United States,Oil and charcoal on canvas,Painting,"['Contemporary Art', 'Women artists']"
